No.,Time,Source,Destination,Protocol,Length,Info,Frame Type,Frame Control Field
10548,2373.022809,00:11:7d:e6:a1:52:15:30,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10549,2373.074178,00:11:7d:e6:a1:52:15:30,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10550,2373.079153,00:a0:50:76:a3:f6:59:24,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10551,2373.130949,00:a0:50:76:a3:f6:59:24,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10552,2373.135777,00:04:9f:56:e0:ce:b3:66,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10553,2373.187305,00:04:9f:56:e0:ce:b3:66,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10554,2373.192427,00:11:7d:48:10:c2:ed:0a,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10555,2373.244392,00:11:7d:48:10:c2:ed:0a,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10556,2373.24919,00:a0:50:53:d2:7a:2f:5a,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10557,2373.300701,00:a0:50:53:d2:7a:2f:5a,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10558,2373.306043,00:04:9f:02:d4:cc:85:ac,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10559,2373.357574,00:04:9f:02:d4:cc:85:ac,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10560,2373.362556,00:11:7d:8b:47:e2:48:66,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10561,2373.414209,00:11:7d:8b:47:e2:48:66,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10562,2373.419321,00:21:ed:71:9c:17:04:1b,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10563,2373.470867,00:21:ed:71:9c:17:04:1b,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10564,2373.475899,00:a0:50:71:f3:d9:f2:d8,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
